"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"213",12,"Darius Slayton",NYG,"WR85","11","3 out of 5 stars","+1"
"214",12,"San Francisco 49ers",SF,"DST2","9","1 out of 5 stars","+26"
"215",12,"Dallas Cowboys",DAL,"DST3","7","4 out of 5 stars","+24"
"216",12,"Miles Sanders",CAR,"RB69","11","4 out of 5 stars","+36"
"217",12,"Jelani Woods",IND,"TE29","14","3 out of 5 stars","-2"
"218",12,"New York Jets",NYJ,"DST4","12","1 out of 5 stars","+26"
"219",12,"Malachi Corley",NYJ,"WR86","12","4 out of 5 stars","-16"
"220",13,"Treylon Burks",TEN,"WR87","5","4 out of 5 stars","+84"
"221",13,"Kendrick Bourne",NE,"WR88","14","3 out of 5 stars","+13"
"222",13,"Cleveland Browns",CLE,"DST5","10","2 out of 5 stars","+26"
"223",13,"Justin Tucker",BAL,"K1","14","2 out of 5 stars","-"
"224",13,"Miami Dolphins",MIA,"DST6","6","2 out of 5 stars","+31"
"225",13,"Michael Mayer",LV,"TE30","10","4 out of 5 stars","-5"
"226",13,"Brandon Aubrey",DAL,"K2","7","2 out of 5 stars","-"
"227",13,"Tyler Boyd",TEN,"WR89","5","4 out of 5 stars","-21"
"228",13,"Buffalo Bills",BUF,"DST7","12","2 out of 5 stars","+26"
"229",13,"Odell Beckham Jr.",MIA,"WR90","6","2 out of 5 stars","-7"
"230",13,"Kansas City Chiefs",KC,"DST8","6","2 out of 5 stars","+23"
"231",13,"Philadelphia Eagles",PHI,"DST9","5","3 out of 5 stars","+28"
"232",13,"Pittsburgh Steelers",PIT,"DST10","9","4 out of 5 stars","+18"
"233",13,"Jason Sanders",MIA,"K3","6","2 out of 5 stars","-"
"234",13,"Chicago Bears",CHI,"DST11","7","3 out of 5 stars","+29"
"235",13,"Mike Gesicki",CIN,"TE31","12","3 out of 5 stars","-31"
"236",13,"Harrison Butker",KC,"K4","6","2 out of 5 stars","-"
"237",13,"New Orleans Saints",NO,"DST12","12","5 out of 5 stars","+30"
"238",13,"Jake Elliott",PHI,"K5","5","2 out of 5 stars","-"
"239",13,"A.T. Perry",NO,"WR91","12","3 out of 5 stars","-8"
"240",13,"Jake Moody",SF,"K6","9","1 out of 5 stars","-"
"241",13,"Luke McCaffrey",WAS,"WR92","14","3 out of 5 stars","-36"
"242",13,"Minnesota Vikings",MIN,"DST13","6","3 out of 5 stars","+38"
"243",13,"Gerald Everett",CHI,"TE32","7","3 out of 5 stars","+84"
"244",13,"Tyler Bass",BUF,"K7","12","5 out of 5 stars","-"
"245",13,"Ka'imi Fairbairn",HOU,"K8","14","2 out of 5 stars","-"
"246",13,"Rondale Moore",ATL,"WR93","12","4 out of 5 stars","-8"
"247",13,"Houston Texans",HOU,"DST14","14","2 out of 5 stars","+10"
"248",13,"Younghoe Koo",ATL,"K9","12","0 out of 5 stars","-"
"249",13,"Devontez Walker",BAL,"WR94","14","3 out of 5 stars","-39"
"250",13,"Jonathan Mingo",CAR,"WR95","11","5 out of 5 stars","+47"
"251",13,"Evan McPherson",CIN,"K10","12","0 out of 5 stars","-"
"252",13,"Jamaal Williams",NO,"RB70","12","5 out of 5 stars","+34"
"253",13,"Jalen Tolbert",DAL,"WR96","7","3 out of 5 stars","-27"
"254",13,"Justice Hill",BAL,"RB71","14","3 out of 5 stars","+6"
"255",13,"DJ Chark Jr.",LAC,"WR97","5","3 out of 5 stars","-13"
"256",13,"Colby Parkinson",LAR,"TE33","6","3 out of 5 stars","-33"
"257",13,"Dustin Hopkins",CLE,"K11","10","2 out of 5 stars","-"
"258",13,"Samaje Perine",DEN,"RB72","14","4 out of 5 stars","-41"
"259",13,"Matt Gay",IND,"K12","14","5 out of 5 stars","-"
"260",13,"Alec Pierce",IND,"WR98","14","4 out of 5 stars","+78"
"261",13,"Cameron Dicker",LAC,"K13","5","3 out of 5 stars","-"
"262",13,"Tank Bigsby",JAC,"RB73","12","2 out of 5 stars","-51"
"263",13,"Tyler Higbee",LAR,"TE34","6","3 out of 5 stars","+12"
"264",13,"Ja'Tavion Sanders",CAR,"TE35","11","3 out of 5 stars","-46"
"265",13,"Josh Reynolds",DEN,"WR99","14","2 out of 5 stars","+22"
"266",13,"Zach Ertz",WAS,"TE36","14","2 out of 5 stars","-45"
"267",13,"Andrei Iosivas",CIN,"WR100","12","2 out of 5 stars","+25"
"268",13,"Trey Palmer",TB,"WR101","11","3 out of 5 stars","+47"
"269",14,"Cairo Santos",CHI,"K14","7","5 out of 5 stars","-"
"270",14,"Cedric Tillman",CLE,"WR102","10","3 out of 5 stars","+3"
"271",14,"Michael Gallup",LV,"WR103","10","3 out of 5 stars","-"
"272",14,"Dawson Knox",BUF,"TE37","12","2 out of 5 stars","-21"
"273",14,"Dylan Laube",LV,"RB74","10","3 out of 5 stars","-30"
"274",14,"Theo Johnson",NYG,"TE38","11","4 out of 5 stars","-10"
"275",14,"Trey Sermon",IND,"RB75","14","2 out of 5 stars","-29"
"276",14,"Denver Broncos",DEN,"DST15","14","3 out of 5 stars","+24"
"277",14,"Indianapolis Colts",IND,"DST16","14","4 out of 5 stars","-15"
"278",14,"Gardner Minshew II",LV,"QB32","10","2 out of 5 stars","-71"
"279",14,"Jason Myers",SEA,"K15","10","5 out of 5 stars","-"
"280",14,"Tutu Atwell",LAR,"WR104","6","3 out of 5 stars","+28"
"281",14,"Cincinnati Bengals",CIN,"DST17","12","5 out of 5 stars","0"
"282",14,"Noah Brown",HOU,"WR105","14","3 out of 5 stars","+19"
"283",14,"Greg Dulcich",DEN,"TE39","14","2 out of 5 stars","-36"
"284",14,"Justin Fields",PIT,"QB33","9","2 out of 5 stars","-85"
"285",14,"Robert Woods",HOU,"WR106","14","3 out of 5 stars","-"
"286",14,"Isaac Guerendo",SF,"RB76","9","2 out of 5 stars","-54"
"287",14,"Will Shipley",PHI,"RB77","5","4 out of 5 stars","-71"
"288",14,"Detroit Lions",DET,"DST18","5","0 out of 5 stars","-18"
"289",14,"K.J. Osborn",NE,"WR107","14","3 out of 5 stars","-24"
"290",14,"Daniel Carlson",LV,"K16","10","2 out of 5 stars","-"
"291",14,"Kadarius Toney",KC,"WR108","6","3 out of 5 stars","+19"
"292",14,"Greg Dortch",ARI,"WR109","11","3 out of 5 stars","-65"
"293",14,"Kalif Raymond",DET,"WR110","5","4 out of 5 stars","-22"
"294",14,"Jacob Cowing",SF,"WR111","9","2 out of 5 stars","-"
"295",14,"Blake Grupe",NO,"K17","12","4 out of 5 stars","-"
"296",14,"Evan Hull",IND,"RB78","14","2 out of 5 stars","+7"
"297",14,"Ronnie Rivers",LAR,"RB79","6","3 out of 5 stars","-"
"298",14,"Jacksonville Jaguars",JAC,"DST19","12","4 out of 5 stars","-22"
"299",14,"Sam Darnold",MIN,"QB34","6","5 out of 5 stars","-87"
"300",14,"Daniel Bellinger",NYG,"TE40","11","4 out of 5 stars","-55"
"301",14,"Michael Carter",ARI,"RB80","11","2 out of 5 stars","-"
"302",14,"Jacoby Brissett",NE,"QB35","14","3 out of 5 stars","-61"
"303",14,"New England Patriots",NE,"DST20","14","2 out of 5 stars","-25"
"304",14,"Nelson Agholor",BAL,"WR112","14","3 out of 5 stars","-"
"305",14,"Deuce Vaughn",DAL,"RB81","7","3 out of 5 stars","+11"
"306",14,"JuJu Smith-Schuster",NE,"WR113","14","3 out of 5 stars","-"
"307",14,"Greg Zuerlein",NYJ,"K18","12","4 out of 5 stars","-"
"308",14,"Jordan Mason",SF,"RB82","9","2 out of 5 stars","-"
"309",14,"Israel Abanikanda",NYJ,"RB83","12","2 out of 5 stars","-"
"310",14,"Green Bay Packers",GB,"DST21","10","1 out of 5 stars","-42"
"311",14,"Kareem Hunt",FA,"RB84","-","-","-50"
"312",14,"Jeff Wilson Jr.",MIA,"RB85","6","3 out of 5 stars","-"
"313",14,"Eric Gray",NYG,"RB86","11","3 out of 5 stars","-64"
"314",14,"Allen Lazard",NYJ,"WR114","12","4 out of 5 stars","-32"
"315",14,"Tyler Scott",CHI,"WR115","7","4 out of 5 stars","+4"
"316",14,"Michael Thomas",FA,"WR116","-","-","+8"
"317",14,"D'Ernest Johnson",JAC,"RB87","12","2 out of 5 stars","-29"
"318",14,"Pierre Strong Jr.",CLE,"RB88","10","4 out of 5 stars","-"
"319",14,"Aidan O'Connell",LV,"QB36","10","2 out of 5 stars","-100"
"320",14,"Cordarrelle Patterson",PIT,"RB89","9","4 out of 5 stars","+6"
"321",15,"Tre Tucker",LV,"WR117","10","3 out of 5 stars","-44"
"322",15,"Las Vegas Raiders",LV,"DST22","10","3 out of 5 stars","-56"
"323",15,"Hayden Hurst",LAC,"TE41","5","3 out of 5 stars","-98"
"324",15,"Emari Demercado",ARI,"RB90","11","2 out of 5 stars","-"
"325",15,"Skyy Moore",KC,"WR118","6","3 out of 5 stars","-"
"326",15,"Calvin Austin III",PIT,"WR119","9","1 out of 5 stars","-70"
"327",15,"Wil Lutz",DEN,"K19","14","2 out of 5 stars","-"
"328",15,"Kylen Granson",IND,"TE42","14","3 out of 5 stars","-"
"329",15,"Michael Badgley",DET,"K20","5","2 out of 5 stars","-"
"330",15,"Jerick McKinnon",FA,"RB91","-","-","+19"
"331",15,"Donald Parham Jr.",LAC,"TE43","5","3 out of 5 stars","-52"
"332",15,"Cam Akers",MIN,"RB92","6","3 out of 5 stars","-"
"333",15,"Tanner Hudson",CIN,"TE44","12","3 out of 5 stars","-"
"334",15,"Chase Edmonds",TB,"RB93","11","5 out of 5 stars","-"
"335",15,"Chris Rodriguez Jr.",WAS,"RB94","14","3 out of 5 stars","-"
"336",15,"Brenden Rice",LAC,"WR120","5","3 out of 5 stars","-34"
"337",15,"New York Giants",NYG,"DST23","11","3 out of 5 stars","-46"
"338",15,"John Metchie III",HOU,"WR121","14","3 out of 5 stars","-29"
